
Seq	Index	Timestamp	DC
1	0	2025-08-17 18:00:00 (OC +0.04800, PrevOC -)	None
3	2	2025-08-17 22:00:00 (OC +0.00600, PrevOC +0.01000)	False
7	6	2025-08-18 06:00:00 (OC +0.03100, PrevOC +0.00100)	False
13	13	2025-08-18 20:00:00 (OC +0.09500, PrevOC -0.02300)	False
21	23	2025-08-19 16:00:00 (OC +0.00300, PrevOC +0.06000)	False
31	34	2025-08-20 14:00:00 (OC +0.15200, PrevOC -0.16900)	True (rule)
43	48	2025-08-21 18:00:00 (OC -0.03000, PrevOC -0.01400)	False
57	64	2025-08-25 02:00:00 (OC +0.02300, PrevOC +0.03700)	False
73	82	2025-08-26 14:00:00 (OC -0.02100, PrevOC +0.11600)	False
91	101	2025-08-28 04:00:00 (OC -0.03600, PrevOC -0.03600)	False
111	-	2025-09-01 02:00:00 (pred, OC -, PrevOC -)	-
133	-	2025-09-02 22:00:00 (pred, OC -, PrevOC -)	-
157	-	2025-09-04 22:00:00 (pred, OC -, PrevOC -)	-
